Sample_name	Species	Country	Collection_date_yyyy-mm-dd	Latitude	Longitude	Collectors	Bar6	Bar6b	Bar16	Bar16b	Bar50	Bar50b	Bar51	Bar51b	Bar53	Bar53b	Bar62	Bar62b	Bar64	Bar64b	Bar69	Bar69b	Bar31	Bar31b	Bar56	Bar56b	Bar57	Bar57b	Bar58	Bar58b	K2	K2a	K2b	K3	K3a	K3b	K3c	K4	K4a	K4b	K4c	K4d
1	Barteria fistulosa	Cameroon	2007-02-26	4.80907	8.90323	Rumsais Blatrix, Champlain Djieto-Lordon	233	259	150	173	118	121	487	495	208	208	476	479	277	286	156	164	167	172	474	480	219	225	258	258	a	0.9612	0.0388	c	0.0142	0.0549	0.9309	a	0.9192	0.0136	0.014	0.0532
2	Barteria fistulosa	Cameroon	2007-02-15	4.65231	9.41029	Rumsais Blatrix, Champlain Djieto-Lordon	215	217	150	171	121	124	487	495	208	208	476	482	271	274	156	164	192	192	465	474	219	225	258	258	a	0.997	0.003	c	0.01	0.003	0.987	a	0.9707	0.0187	0.0076	0.003
3	Barteria fistulosa	Cameroon	2006-01-21	5.67183	9.45792	Rumsais Blatrix	261	269	150	173	118	124	489	495	208	208	476	482	274	274	164	164	182	192	474	483	219	225	258	258	a	0.997	0.003	c	0.0141	0.003	0.9829	a	0.9661	0.0157	0.0153	0.0029
4	Barteria fistulosa	Cameroon	2007-02-11	3.12219	10.01554	Rumsais Blatrix, Champlain Djieto-Lordon	215	251	150	150	121	121	491	495	208	208	476	482	268	277	156	156	182	182	477	477	219	231	0	0	a	0.997	0.003	c	0.4146	0.003	0.5824	a	0.4014	0.2618	0.3338	0.003
5	Barteria fistulosa	Cameroon	2006-01-31	3.20531	10.25001	Rumsais Blatrix, Champlain Djieto-Lordon	215	217	150	150	121	124	487	489	208	208	476	482	271	271	140	156	182	182	477	477	219	225	252	255	a	0.9718	0.0282	a	0.9222	0.0294	0.0484	b	0.0327	0.5589	0.3771	0.0313
7	Barteria fistulosa	Gabon	2006-00-00	-0.20142	11.576	Marie-Helene Chevallier	221	245	133	175	112	112	487	487	214	214	482	482	283	283	156	156	172	172	474	477	213	213	252	252	b	0.0182	0.9818	b	0.0071	0.942	0.0509	d	0.0587	0.0079	0.008	0.9254
BD10	Barteria fistulosa	Congo	0	2.0814	16.3301	David Harris	215	225	155	157	118	124	487	487	208	208	476	476	271	277	156	172	0	0	0	0	0	0	0	0	a	0.9939	0.0061	a	0.9609	0.0065	0.0326	b	0.0274	0.8666	0.0999	0.006
BF10	Barteria fistulosa	Cameroon	2009-03-17	3.66291	10.11242	Rumsais Blatrix, Champlain Djieto-Lordon	227	227	150	155	118	118	491	495	208	208	479	482	268	271	172	172	167	192	465	474	219	219	258	261	a	0.998	0.002	c	0.3027	0.002	0.6953	b	0.2494	0.7249	0.0227	0.003
BF100	Barteria fistulosa	Cameroon	2006-01-31	3.20531	10.25001	Rumsais Blatrix, Champlain Djieto-Lordon	215	215	150	150	124	127	495	495	208	208	476	482	271	271	156	164	167	182	465	477	219	225	258	261	a	0.998	0.002	a	0.6345	0.002	0.3635	b	0.304	0.4858	0.2082	0.002
BF101	Barteria fistulosa	Cameroon	2006-01-31	3.20531	10.25001	Rumsais Blatrix, Champlain Djieto-Lordon	215	215	150	153	118	0	487	495	208	212	476	482	277	277	164	172	167	182	471	474	219	225	258	264	a	0.997	0.003	a	0.8889	0.0037	0.1074	b	0.0313	0.9469	0.0188	0.003
BF102	Barteria fistulosa	Cameroon	2006-01-31	3.20531	10.25001	Rumsais Blatrix, Champlain Djieto-Lordon	215	263	150	150	118	121	487	487	208	208	482	482	0	0	140	156	167	167	465	477	219	222	258	258	a	0.998	0.002	c	0.0818	0.003	0.9152	a	0.6933	0.2708	0.0329	0.003
BF103	Barteria fistulosa	Cameroon	2006-01-21	5.67183	9.45792	Rumsais Blatrix	215	233	169	171	124	127	487	491	208	208	476	482	274	277	164	164	177	192	471	480	219	225	258	258	a	0.998	0.002	c	0.005	0.002	0.993	a	0.987	0.007	0.004	0.002
BF104	Barteria fistulosa	Cameroon	2006-01-21	5.67183	9.45792	Rumsais Blatrix	217	265	169	171	121	127	487	489	208	208	476	482	274	274	156	164	177	197	471	480	225	225	255	258	a	0.996	0.004	c	0.0059	0.005	0.9891	a	0.982	0.008	0.005	0.005
BF105	Barteria fistulosa	Cameroon	2006-01-21	5.67183	9.45792	Rumsais Blatrix	215	227	150	171	118	127	495	495	208	208	482	482	274	277	156	164	182	192	465	471	0	0	258	258	a	0.998	0.002	c	0.008	0.002	0.99	a	0.9803	0.0107	0.007	0.002
BF106	Barteria fistulosa	Cameroon	2006-01-21	5.60252	9.53572	Rumsais Blatrix	219	229	169	177	124	133	495	497	208	210	482	482	274	277	156	164	192	192	474	480	219	225	258	258	a	0.993	0.007	c	0.005	0.004	0.991	a	0.988	0.004	0.004	0.004
BF107	Barteria fistulosa	Cameroon	2006-01-21	5.60252	9.53572	Rumsais Blatrix	217	261	171	185	118	121	487	495	208	210	482	482	274	289	164	164	182	207	465	477	219	225	258	258	a	0.998	0.002	c	0.014	0.002	0.984	a	0.9711	0.013	0.0139	0.002
BF108	Barteria fistulosa	Cameroon	2006-01-21	5.60252	9.53572	Rumsais Blatrix	215	259	165	171	118	124	487	495	208	208	482	482	274	280	164	164	192	192	474	474	219	219	258	258	a	0.996	0.004	c	0.009	0.0037	0.9873	a	0.979	0.0072	0.0108	0.003
BF11	Barteria fistulosa	Cameroon	2009-03-17	3.76444	11.1958	Rumsais Blatrix, Champlain Djieto-Lordon	225	229	155	163	118	124	487	487	208	208	482	482	271	271	172	172	167	182	471	474	219	225	255	261	a	0.9948	0.0052	a	0.9502	0.0071	0.0427	b	0.0105	0.9766	0.0079	0.005
BF111	Barteria fistulosa	Cameroon	2006-00-00	5.26168	9.39307	Rumsais Blatrix	227	235	150	157	118	127	495	495	208	208	476	482	271	0	156	164	177	192	477	480	219	225	255	258	a	0.997	0.003	c	0.0199	0.004	0.9761	a	0.959	0.009	0.028	0.004
