Sample_name	lat	lon	Bar6	Bar16	Bar50	Bar51	Bar53	Bar62	Bar64	Bar69	Bar31	Bar56	Bar57	Bar58
1	4.80907	8.90323	233-259	150-173	118-121	487-495	208-208	476-479	277-286	156-164	167-172	474-480	219-225	258-258
2	4.65231	9.41029	215-217	150-171	121-124	487-495	208-208	476-482	271-274	156-164	192-192	465-474	219-225	258-258
3	5.67183	9.45792	261-269	150-173	118-124	489-495	208-208	476-482	274-274	164-164	182-192	474-483	219-225	258-258
4	3.12219	10.01554	215-251	150-150	121-121	491-495	208-208	476-482	268-277	156-156	182-182	477-477	219-231	0-0
5	3.20531	10.25001	215-217	150-150	121-124	487-489	208-208	476-482	271-271	140-156	182-182	477-477	219-225	252-255
7	-0.20142	11.576	221-245	133-175	112-112	487-487	214-214	482-482	283-283	156-156	172-172	474-477	213-213	252-252
BD10	2.0814	16.3301	215-225	155-157	118-124	487-487	208-208	476-476	271-277	156-172	0-0	0-0	0-0	0-0
BF10	3.66291	10.11242	227-227	150-155	118-118	491-495	208-208	479-482	268-271	172-172	167-192	465-474	219-219	258-261
BF100	3.20531	10.25001	215-215	150-150	124-127	495-495	208-208	476-482	271-271	156-164	167-182	465-477	219-225	258-261
BF101	3.20531	10.25001	215-215	150-153	118-0	487-495	208-212	476-482	277-277	164-172	167-182	471-474	219-225	258-264
BF102	3.20531	10.25001	215-263	150-150	118-121	487-487	208-208	482-482	0-0	140-156	167-167	465-477	219-222	258-258
BF103	5.67183	9.45792	215-233	169-171	124-127	487-491	208-208	476-482	274-277	164-164	177-192	471-480	219-225	258-258
BF104	5.67183	9.45792	217-265	169-171	121-127	487-489	208-208	476-482	274-274	156-164	177-197	471-480	225-225	255-258
BF105	5.67183	9.45792	215-227	150-171	118-127	495-495	208-208	482-482	274-277	156-164	182-192	465-471	0-0	258-258
BF106	5.60252	9.53572	219-229	169-177	124-133	495-497	208-210	482-482	274-277	156-164	192-192	474-480	219-225	258-258
BF107	5.60252	9.53572	217-261	171-185	118-121	487-495	208-210	482-482	274-289	164-164	182-207	465-477	219-225	258-258
BF108	5.60252	9.53572	215-259	165-171	118-124	487-495	208-208	482-482	274-280	164-164	192-192	474-474	219-219	258-258
BF11	3.76444	11.1958	225-229	155-163	118-124	487-487	208-208	482-482	271-271	172-172	167-182	471-474	219-225	255-261
BF111	5.26168	9.39307	227-235	150-157	118-127	495-495	208-208	476-482	271-0	156-164	177-192	477-480	219-225	255-258
BF112	4.80485	9.60763	233-269	150-155	121-121	487-487	208-208	479-482	268-277	156-156	177-177	465-480	219-219	258-258
BF113	4.80485	9.60763	215-215	150-150	124-124	487-487	208-208	482-482	268-277	156-164	167-177	465-474	213-225	264-264
BF114	4.80485	9.60763	215-227	150-150	124-124	493-495	208-208	482-482	277-277	156-164	192-192	480-483	213-225	258-261
BF115	4.80485	9.60763	215-233	155-171	121-124	495-495	208-208	476-479	268-271	156-164	182-192	471-474	219-225	258-258
BF116	4.80485	9.60763	227-267	150-155	121-124	487-487	208-208	476-482	268-277	156-164	177-192	474-483	219-225	258-264
BF117	5.74915	9.07462	215-219	150-155	121-124	487-495	208-208	476-482	277-277	156-164	0-0	0-0	0-0	0-0
BF118	3.09146	13.61436	215-217	155-165	121-124	487-489	208-208	476-476	0-0	156-164	192-192	465-477	219-219	258-264
BF119	2.87665	13.90856	241-243	155-165	124-124	487-489	208-210	476-476	277-277	172-172	167-182	471-474	219-225	258-258
BF120	3.02014	13.82301	215-215	150-150	118-124	487-489	208-208	476-482	277-277	164-172	182-192	465-471	219-219	255-258
BF121	3.52459	14.63258	215-215	150-155	121-121	487-489	208-214	476-476	268-277	156-172	182-192	465-474	0-0	255-258
BF122	2.93188	14.94626	229-233	155-155	118-124	489-493	208-208	476-476	277-286	156-164	182-192	465-477	219-219	255-264
BF123	2.83086	15.36385	215-217	150-177	121-121	487-493	208-208	476-479	277-286	156-156	192-192	465-465	219-225	258-264
BF124	2.0569	15.57021	215-215	150-150	121-124	489-493	208-208	476-476	268-268	156-156	182-192	477-483	219-225	255-258
BF125	2.2884	15.30933	221-241	150-165	124-124	489-493	208-208	476-479	277-277	156-172	182-192	474-477	219-219	258-264
BF126	3.99123	14.39923	215-215	155-185	118-124	487-489	208-208	482-482	271-277	164-164	182-192	465-477	219-219	258-264
BF127	2.07807	15.8179	215-229	155-155	124-124	489-489	208-208	479-479	268-268	164-172	182-182	474-483	219-219	258-258
BF128	3.18492	14.91845	215-215	150-150	124-127	489-493	208-208	476-482	271-271	172-172	167-192	471-477	225-225	255-261
BF129	3.16894	14.92617	217-233	153-165	109-121	487-489	208-210	476-482	286-286	156-172	182-192	465-477	219-225	258-258
BF13	3.76489	11.09636	215-217	150-153	118-121	487-487	208-208	476-476	271-271	172-172	167-192	465-486	219-219	258-261
BF130	3.11931	14.94454	215-215	155-185	124-124	487-489	208-208	476-479	271-271	164-164	192-192	465-474	225-243	258-261
BF131	4.7965	8.90253	221-261	150-183	124-124	493-495	208-208	482-489	274-274	156-164	182-182	474-474	225-225	258-261
BF132	4.7965	8.90253	215-217	150-183	118-121	495-495	208-208	0-0	274-274	0-0	192-202	465-471	219-219	258-258
BF133	4.7965	8.90253	215-229	165-177	115-124	487-495	208-208	482-482	274-277	140-164	192-192	465-486	219-219	258-258
BF134	4.7965	8.90253	249-259	150-150	118-118	491-493	208-208	476-476	274-274	164-164	177-192	465-498	219-225	258-258
BF135	4.7965	8.90253	215-233	155-155	118-118	489-495	208-208	479-482	277-277	156-164	192-192	471-489	0-0	258-261
BF136	4.7965	8.90253	217-253	157-177	118-118	493-495	208-208	476-489	277-277	156-168	192-192	465-486	219-219	244-258
BF137	4.7965	8.90253	215-259	155-183	118-124	495-495	208-208	476-476	277-277	156-156	182-192	471-477	213-219	258-258
BF138	4.7965	8.90253	215-233	150-183	115-124	487-489	208-208	482-482	268-274	152-164	192-192	474-480	213-219	258-258
BF139	4.7965	8.90253	215-215	150-171	115-121	487-487	208-208	476-482	277-277	156-164	0-0	0-0	0-0	0-0
BF140	4.7965	8.90253	215-229	150-165	121-121	495-495	208-210	482-482	274-286	156-164	182-182	480-486	0-0	258-258
BF141	4.7965	8.90253	229-229	150-185	118-121	491-491	208-208	476-482	271-274	156-156	192-192	477-486	219-225	258-258
BF142	4.7965	8.90253	215-215	150-171	121-121	489-495	208-208	476-482	277-277	156-156	192-192	465-474	219-225	258-258
BF143	4.7965	8.90253	229-259	155-171	118-121	487-495	208-208	482-482	274-286	140-156	192-192	477-486	219-225	258-258
BF144	4.7965	8.90253	233-245	150-165	118-124	489-495	208-212	476-482	271-286	156-156	167-192	474-483	219-225	258-258
BF145	4.7965	8.90253	249-259	150-179	118-127	487-489	208-208	476-482	274-277	156-164	182-192	465-465	219-225	258-258
BF146	4.7965	8.90253	215-217	150-155	109-121	487-495	208-208	482-482	271-274	156-156	192-192	465-486	219-225	258-258
BF147	4.7965	8.90253	219-259	155-155	118-124	495-499	208-208	476-482	274-277	156-156	167-182	474-474	225-225	258-258
BF148	4.7965	8.90253	221-245	150-150	118-127	487-489	208-208	482-482	271-271	156-164	182-202	465-480	219-225	258-258
BF149	4.7965	8.90253	215-259	150-155	124-124	491-497	208-210	479-479	274-274	156-164	167-192	474-477	213-225	258-258
BF150	4.7965	8.90253	215-233	150-169	124-127	495-495	208-208	476-482	274-274	156-164	167-192	465-474	213-225	258-258
BF151	4.7965	8.90253	217-229	155-159	124-124	487-489	208-208	476-482	274-274	156-164	177-182	474-480	219-225	258-258
BF152	4.7965	8.90253	229-259	165-173	118-121	487-487	208-208	482-482	271-274	140-156	182-192	474-480	219-225	258-258
BF154	4.7965	8.90253	215-215	150-155	121-121	487-489	208-208	476-476	277-280	156-156	192-192	480-486	219-219	258-258
BF155	4.7965	8.90253	215-217	150-175	118-121	487-491	208-208	482-482	265-268	156-164	0-0	0-0	0-0	0-0
BF156	4.7965	8.90253	215-229	155-159	124-133	495-497	208-210	482-482	271-274	156-164	167-192	465-474	213-225	255-258
BF157	4.7965	8.90253	215-215	171-181	121-124	487-489	208-208	476-482	277-286	156-156	0-0	0-0	0-0	0-0
BF158	4.7965	8.90253	215-247	150-150	124-127	487-487	208-208	482-482	274-277	156-164	192-192	474-474	219-225	258-258
